accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-1.808974027633666992e+00,-2.847459077835083008e+00,5.053641796112060547e+00,-4.001167297363281250e+00,5.705481767654418945e-01,-1.954768747091293335e-01
-1.789831399917602539e+00,-2.675175428390502930e+00,4.675575733184814453e+00,-4.001167297363281250e+00,9.297368526458740234e-01,4.642575979232788086e-02
-2.019542455673217773e+00,-1.928615093231201172e+00,3.756731748580932617e+00,-1.500285029411315918e+00,7.892378568649291992e-01,-3.042108714580535889e-01
-2.105683803558349609e+00,-2.091326951980590820e+00,2.598605394363403320e+00,-1.023810148239135742e+00,5.387831330299377441e-01,-2.809980213642120361e-01
-1.631905078887939453e+00,-2.431107997894287109e+00,2.866601467132568359e+00,-2.563190460205078125e+00,2.028072476387023926e-01,-3.506366610527038574e-01
-1.942972064018249512e+00,-3.574877262115478516e+00,3.804587841033935547e+00,-1.601688623428344727e+00,-4.764748737215995789e-02,-5.375614166259765625e-01
-2.062613010406494141e+00,-3.617948055267333984e+00,3.718446254730224609e+00,2.419026345014572144e-01,-8.552113547921180725e-03,-1.954768747091293335e-01
-2.033899307250976562e+00,-2.732603549957275391e+00,3.225525140762329102e+00,1.594358325004577637e+00,-1.588249579071998596e-02,-3.176499158143997192e-02
-1.866401791572570801e+00,-2.483750104904174805e+00,2.703889608383178711e+00,2.820975542068481445e+00,-3.359758853912353516e-01,-3.506366610527038574e-01
-1.847259044647216797e+00,-2.823530673980712891e+00,2.976671457290649414e+00,3.188716650009155273e+00,-7.892378568649291992e-01,-4.129448831081390381e-01
-1.689332842826843262e+00,-3.148954629898071289e+00,4.177868843078613281e+00,3.266907215118408203e+00,-1.211956620216369629e+00,-2.883284091949462891e-01
-1.646262049674987793e+00,-2.857030391693115234e+00,5.288137912750244141e+00,3.196046829223632812e+00,-1.055575132369995117e+00,3.787364438176155090e-02
-1.450050592422485352e+00,-2.033899307250976562e+00,5.111069202423095703e+00,3.501479387283325195e+00,-5.082398653030395508e-01,3.799581527709960938e-01
-1.406979680061340332e+00,-1.454836130142211914e+00,4.465007305145263672e+00,3.101973533630371094e+00,-1.881464868783950806e-01,4.581489264965057373e-01
-1.263410449028015137e+00,-7.417750358581542969e-01,4.096512317657470703e+00,2.008524894714355469e+00,-2.577851116657257080e-01,6.450736522674560547e-01
-1.320838093757629395e+00,-3.637090325355529785e-01,4.398008346557617188e+00,1.141096353530883789e+00,-2.577851116657257080e-01,5.900958180427551270e-01
-1.325623631477355957e+00,6.221338734030723572e-02,4.795216560363769531e+00,8.124507665634155273e-01,-4.068362414836883545e-01,4.813618063926696777e-01
-1.205982565879821777e+00,4.067798554897308350e-01,5.268995761871337891e+00,9.529497623443603516e-01,-4.532620012760162354e-01,3.799581527709960938e-01
-1.191625714302062988e+00,3.206382095813751221e-01,5.627918720245361328e+00,9.065240025520324707e-01,-1.563815027475357056e-01,1.160643920302391052e-01
-1.249053478240966797e+00,-1.387837231159210205e-01,5.484349250793457031e+00,3.591887652873992920e-01,2.186897546052932739e-01,9.285151958465576172e-02
-1.378265857696533203e+00,-1.004985496401786804e-01,4.790431022644042969e+00,-1.637118905782699585e-01,5.778785347938537598e-01,2.321287840604782104e-01
-1.363908886909484863e+00,1.004985496401786804e-01,4.235295772552490234e+00,-2.577851116657257080e-01,4.764748811721801758e-01,1.930334120988845825e-01
-1.517049551010131836e+00,1.004985496401786804e-01,4.211367607116699219e+00,1.588249579071998596e-02,2.028072476387023926e-01,2.321287840604782104e-01
-1.488335728645324707e+00,1.387837231159210205e-01,4.565505981445312500e+00,1.637118905782699585e-01,-1.588249579071998596e-02,2.199114859104156494e-02
-1.531406521797180176e+00,-2.297109663486480713e-01,4.843073368072509766e+00,7.086036354303359985e-02,-1.404990106821060181e-01,-3.176499158143997192e-02
-1.473978757858276367e+00,-3.684946894645690918e-01,5.149354457855224609e+00,1.722639948129653931e-01,5.375614017248153687e-02,3.054326213896274567e-02
-1.473978757858276367e+00,-4.019941985607147217e-01,4.972285747528076172e+00,2.968804836273193359e-01,1.319468915462493896e-01,1.001818999648094177e-01
-1.416550993919372559e+00,-5.742774158716201782e-02,4.780859470367431641e+00,4.141666293144226074e-01,1.637118905782699585e-01,2.553416788578033447e-01
-1.540977835655212402e+00,-8.135597407817840576e-02,4.862215995788574219e+00,5.314527750015258789e-01,6.230825558304786682e-02,1.857030391693115234e-01
-1.584048628807067871e+00,1.100698411464691162e-01,4.488935470581054688e+00,5.473352670669555664e-01,3.054326213896274567e-02,2.321287840604782104e-01
-1.473978757858276367e+00,5.168497562408447266e-01,4.321437358856201172e+00,1.563815027475357056e-01,-8.552113547921180725e-03,1.783726513385772705e-01
-1.445264935493469238e+00,5.264209508895874023e-01,4.603790760040283203e+00,2.736676335334777832e-01,-1.099557429552078247e-01,8.429940044879913330e-02
-1.406979680061340332e+00,3.206382095813751221e-01,4.938786029815673828e+00,4.300491213798522949e-01,-1.563815027475357056e-01,3.054326213896274567e-02
